datetime,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
10/1/1996,1,342.6134031,749.5705312,464.7875843,245.138342,436.5023249,1094.004023,615.6739121,946.8997137,984.1280256,188.4881438,18.51355593,449.4861258
10/2/1996,1,352.7563151,721.3700778,468.1858357,248.3733085,464.8307635,1191.728773,628.807668,948.5198161,1004.481291,202.4070549,19.94035628,476.1571535
10/3/1996,1,349.727311,689.3956108,448.5030268,235.6200732,438.6950134,1110.055441,608.7368853,925.7009194,964.7947023,174.750249,18.39703244,448.2338389
10/4/1996,1,335.2721401,677.4407323,430.3012735,228.654352,401.7116281,992.0315874,580.2646152,900.6028311,922.7155417,155.543744,16.75940701,412.1656161
10/5/1996,1,335.565846,670.7073346,424.2628569,225.3718007,385.1763475,951.0919879,567.2690806,884.7061611,902.6657462,149.3992426,15.70663876,398.3871122
10/6/1996,1,317.5054923,645.6121585,411.5378696,215.826947,371.94681,939.3353417,556.2773873,869.7727303,890.4014758,145.4905294,14.05780881,391.6527691
10/7/1996,1,286.2442192,627.6184885,391.850687,193.8498676,359.4766573,927.6108675,544.0464156,854.3857505,878.7285987,142.5945519,12.96865399,385.7793338
10/8/1996,1,259.0306195,628.438117,379.2376864,170.6948176,350.639413,915.4994371,533.7415142,842.1599414,868.2799883,140.2972941,12.29532165,380.5068789
10/9/1996,1,237.9599496,643.8102299,370.6600384,158.4935377,334.8326968,903.8925241,529.789276,837.0958985,858.1483752,137.9795355,11.43177673,375.7282611
10/10/1996,1,241.8837307,646.4302817,368.2636427,174.3176148,333.0077451,896.4020962,529.9023589,834.391685,853.0691802,137.6444368,11.97334813,373.0056718
10/11/1996,1,300.7925173,645.6927004,388.1172894,214.6702233,355.1005984,892.7327548,533.2278446,835.2455784,850.1056426,141.1561789,14.7965554,374.6452028
10/12/1996,1,324.3936717,622.011884,406.8317845,232.2297629,365.8610164,888.9679281,535.5201845,836.1350426,845.1497821,141.9977256,15.64010271,373.859852
10/13/1996,1,343.2847836,592.6472744,413.8291909,249.3884702,369.6380511,882.6031702,533.1323555,829.642562,838.2479,142.7903575,16.01673132,371.5986371
10/14/1996,1,375.9414124,646.6813586,422.2877021,256.8061412,370.2911832,876.5822289,528.3261718,822.1306059,830.9788052,142.3661057,16.30986086,368.8734605
10/15/1996,1,367.2486963,650.2097182,423.3947245,247.028555,371.091524,868.9196376,523.3986363,817.3567863,822.7212942,140.7403199,16.34844656,365.8260762
10/16/1996,1,424.967508,636.1988437,427.0264298,257.0333597,375.1965516,861.8793005,520.7479692,808.6283759,815.3915753,141.7811807,16.87051036,363.6741201
10/17/1996,1,926.3175611,852.4121276,499.654801,322.2975662,396.7357408,867.810046,518.8425707,802.6694434,810.3211253,142.774043,17.55145223,362.587062
10/18/1996,1,1471.409483,1189.910635,841.831906,563.4938422,500.5458581,1060.613888,573.4484139,846.5137273,805.1405752,139.7864947,16.9972255,361.0251144
10/19/1996,1,1383.819863,1504.77943,899.7596999,527.5766469,529.6565222,1247.327581,697.8704458,895.5763993,799.21998,138.828074,16.76267386,356.8868471
